dataset,family,pipeline,pipeline_id,rep_index,algorithm,t_total,t_build,t_config,t_cpgm,t_classify,t_context,t_score_ip,t_score_if,t_score_ir,t_report,ip_score,ip_passed,ip_total,ip_full,ip_none,if_score,if_passed,if_total,if_scored_1,if_scored_0,if_undefined,if_undefined_rate,ir_score,ir_passed,ir_total,ir_full,ir_partial,ir_local,fairness_passed
watdiv_ceiling,rdf2pg,gdm,20260703T082405Z,2,rdf2pg_gdm,77.0853,6.68205,0.00243,60.50191,4.08913,6.68206,0.0625,0.34029,0.34064,5.06545,1.0,True,109092,109092,0,0.04828,False,123026,5940,117086,0,0.0,1.0,True,128303,128303,0,0,False
watdiv_ceiling,kg2pg,nonparsi,20260703T083207Z,0,kg2pg,53.23704,7.22757,0.00196,36.65662,3.56033,7.22758,0.06371,0.36785,0.29329,5.06487,1.0,True,109092,109092,0,0.81486,False,123026,100249,22777,0,0.0,0.90637,False,141551,128297,0,13254,False
watdiv_ceiling,kg2pg,nonparsi,20260703T083207Z,1,kg2pg,53.57032,7.50822,0.00198,36.63551,3.67736,7.50823,0.06663,0.3983,0.29472,4.9867,1.0,True,109092,109092,0,0.81486,False,123026,100249,22777,0,0.0,0.90637,False,141551,128297,0,13254,False
watdiv_ceiling,kg2pg,nonparsi,20260703T083207Z,2,kg2pg,52.94955,7.2421,0.00195,36.40946,3.36071,7.24211,0.06397,0.35951,0.28148,5.22949,1.0,True,109092,109092,0,0.81486,False,123026,100249,22777,0,0.0,0.90637,False,141551,128297,0,13254,False
watdiv_ceiling,kg2pg,parsi,20260703T083000Z,0,kg2pg,38.07823,6.29068,0.00188,22.69176,4.1998,6.29069,0.07418,0.29795,0.25044,4.27068,1.0,True,109092,109092,0,0.98743,True,123026,121480,1546,0,0.0,1.0,True,115043,115043,0,0,True
watdiv_ceiling,kg2pg,parsi,20260703T083000Z,1,kg2pg,39.89533,6.16947,0.00319,24.86321,4.13803,6.16949,0.06887,0.34531,0.23666,4.06966,1.0,True,109092,109092,0,0.98743,True,123026,121480,1546,0,0.0,1.0,True,115043,115043,0,0,True
watdiv_ceiling,kg2pg,parsi,20260703T083000Z,2,kg2pg,38.16137,6.11474,0.0019,22.4924,4.52709,6.11475,0.07082,0.30939,0.23806,4.40612,1.0,True,109092,109092,0,0.98743,True,123026,121480,1546,0,0.0,1.0,True,115043,115043,0,0,True
watdiv_ceiling,rdf2pg,sdm,20260703T082217Z,0,rdf2pg_sdm,33.35333,4.41167,0.00177,20.94751,3.78795,4.41169,0.1519,0.25358,0.24337,3.55458,0.0,False,109092,0,109092,0.99515,True,123026,7994,39,114993,0.9347,0.0,False,109092,0,0,109092,False
watdiv_ceiling,rdf2pg,sdm,20260703T082217Z,1,rdf2pg_sdm,34.067,4.48084,0.00173,21.67766,3.61778,4.48085,0.18367,0.31017,0.26955,3.52465,0.0,False,109092,0,109092,0.99515,True,123026,7994,39,114993,0.9347,0.0,False,109092,0,0,109092,False
watdiv_ceiling,rdf2pg,sdm,20260703T082217Z,2,rdf2pg_sdm,35.49151,4.42672,0.0021,22.36237,3.92187,4.42673,0.14708,0.21764,0.21277,4.20003,0.0,False,109092,0,109092,0.99515,True,123026,7994,39,114993,0.9347,0.0,False,109092,0,0,109092,False
